t [s]	 x [feet] 	 y [feet] 	 z [feet]
0.000000	0.452437	54.131096	6.288138
0.001667	0.481565	54.047565	6.248298
0.003333	0.372845	53.733747	6.276400
0.005000	0.495773	53.554526	6.245873
0.006667	0.521200	53.415264	6.248240
0.008333	0.484552	53.275216	6.238704
0.010000	0.475882	53.104802	6.178342
0.011667	0.434012	52.907911	6.270292
0.013333	0.407815	52.743333	6.241521
0.015000	0.491423	52.550404	6.282903
0.016667	0.448192	52.416325	6.127545
0.018333	0.391516	52.181396	6.217167
0.020000	0.407108	52.075049	6.288835
0.021667	0.429605	51.785164	6.272225
0.023333	0.462646	51.623869	6.237545
0.025000	0.525751	51.424718	6.226219
0.026667	0.526402	51.277206	6.253608
0.028333	0.489344	51.123565	6.211462
0.030000	0.468065	50.978179	6.230239
0.031667	0.449666	50.745899	6.155997
0.033333	0.412462	50.601107	6.233740
0.035000	0.539671	50.360771	6.294185
0.036667	0.514570	50.186743	6.166080
0.038333	0.519950	50.062434	6.134222
0.040000	0.405321	49.827273	6.233401
0.041667	0.412272	49.579795	6.116714
0.043333	0.444247	49.520273	6.153307
0.045000	0.489064	49.304118	6.196953
0.046667	0.455876	49.136270	6.087814
0.048333	0.434807	49.018617	6.229105
0.050000	0.445005	48.790482	6.195570
0.051667	0.472559	48.642939	6.152817
0.053333	0.388913	48.443430	6.153859
0.055000	0.422443	48.257964	6.113002
0.056667	0.459661	48.033175	6.089623
0.058333	0.467756	47.899211	6.031063
0.060000	0.427409	47.706524	6.081967
0.061667	0.483147	47.586298	6.040683
0.063333	0.389608	47.380402	6.079973
0.065000	0.441742	47.235453	6.109063
0.066667	0.467139	47.047192	6.040707
0.068333	0.412917	46.841909	6.055394
0.070000	0.514533	46.718590	6.034254
0.071667	0.484395	46.476290	6.031294
0.073333	0.437681	46.327388	6.047883
0.075000	0.498575	46.128412	5.995502
0.076667	0.484748	46.018789	6.083837
0.078333	0.465330	45.771516	6.091570
0.080000	0.440213	45.622974	6.043493
0.081667	0.489022	45.390888	6.006126
0.083333	0.390907	45.281655	5.988947
0.085000	0.373181	45.068029	5.941368
0.086667	0.474737	44.890074	6.082899
0.088333	0.430872	44.728945	5.980911
0.090000	0.407523	44.427933	6.003793
0.091667	0.418963	44.299278	6.027222
0.093333	0.432997	44.264140	5.998748
0.095000	0.522894	43.984527	5.959124
0.096667	0.504221	43.865081	5.985368
0.098333	0.401430	43.665705	5.922196
0.100000	0.467019	43.512412	5.903811
0.101667	0.402476	43.224238	5.936378
0.103333	0.381175	43.098408	5.975558
0.105000	0.418066	42.927942	5.910974
0.106667	0.353577	42.776462	5.883872
0.108333	0.416953	42.563282	5.915515
0.110000	0.422556	42.381752	5.902629
0.111667	0.442971	42.241576	5.915906
0.113333	0.397116	42.047564	5.903079
0.115000	0.421408	41.868725	5.889442
0.116667	0.450837	41.747652	5.947848
0.118333	0.433210	41.597978	5.853606
0.120000	0.480087	41.391251	5.846186
0.121667	0.473498	41.092601	5.832530
0.123333	0.405606	41.070401	5.816367
0.125000	0.433749	40.813685	5.779218
0.126667	0.420412	40.685370	5.873837
0.128333	0.437564	40.564150	5.769287
0.130000	0.440288	40.274662	5.790678
0.131667	0.401287	40.140078	5.791900
0.133333	0.471332	39.974908	5.858370
0.135000	0.460106	39.763830	5.796834
0.136667	0.488107	39.622255	5.841555
0.138333	0.408897	39.411782	5.693578
0.140000	0.441999	39.227432	5.726991
0.141667	0.355530	39.070664	5.777560
